2025-11-23 00:39:40.747 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-11-23 00:39:40.853 [main] INFO  com.clouddisk.ServerApplication - Starting ServerApplication using Java 21.0.8 with PID 32363 (/mnt/d/Vs_C/EasyCloudDisk/server/target/classes started by root in /mnt/d/Vs_C/EasyCloudDisk/server)
2025-11-23 00:39:40.854 [main] INFO  com.clouddisk.ServerApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-23 00:39:43.880 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-11-23 00:39:44.315 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 418 ms. Found 9 JPA repository interfaces.
2025-11-23 00:39:46.122 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-23 00:39:46.149 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-8080"]
2025-11-23 00:39:46.153 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-23 00:39:46.153 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2025-11-23 00:39:46.274 [main] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-11-23 00:39:46.274 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5331 ms
2025-11-23 00:39:46.544 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-11-23 00:39:47.077 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2025-11-23 00:39:47.083 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-11-23 00:39:47.105 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2025-11-23 00:39:47.589 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-11-23 00:39:47.815 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2025-11-23 00:39:47.938 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-11-23 00:39:48.702 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-11-23 00:39:51.996 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-11-23 00:39:52.180 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-11-23 00:39:55.043 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-11-23 00:39:56.891 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-11-23 00:39:58.115 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2025-11-23 00:39:58.271 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@15dbd88e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6c49db66, org.springframework.security.web.context.SecurityContextHolderFilter@3117fd8, org.springframework.security.web.header.HeaderWriterFilter@3c69b875, org.springframework.web.filter.CorsFilter@476efc81, org.springframework.security.web.authentication.logout.LogoutFilter@5d7b361, com.clouddisk.security.JwtAuthenticationFilter@3fe70a2d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@23a24fea, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@32cc87e0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@27a9fe9e, org.springframework.security.web.session.SessionManagementFilter@17dfa412, org.springframework.security.web.access.ExceptionTranslationFilter@51939207, org.springframework.security.web.access.intercept.AuthorizationFilter@115cbd9b]
2025-11-23 00:39:59.956 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-8080"]
2025-11-23 00:39:59.995 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2025-11-23 00:40:00.015 [main] INFO  com.clouddisk.ServerApplication - Started ServerApplication in 20.488 seconds (process running for 21.004)
2025-11-23 00:40:00.097 [main] INFO  com.clouddisk.ServerApplication - CloudDisk server started successfully.
2025-11-23 00:43:22.245 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-11-23 00:43:22.256 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-11-23 00:43:22.261 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
